,model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,n_jobs,random_state,max_depth,n_estimators,gamma,learning_rate,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,max_delta_step,min_child_weight,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,eval_metric,seed
89,XGBClassifier,0.9177567975269562,0.9997570586742844,,,,,,,,,44.0,,,0.12675921852900746,binary:logistic,,,,,,0.3023353136354549,,,,1.0,,,,,1.649697685552875,0.3064031019514856,,,error,
90,XGBClassifier,0.9176737558612182,0.9993649661304654,,,,,,,,,51.0,,,0.21518621206684208,binary:logitraw,,,,,,0.3137181864820648,,,,10.0,,,,,0.5038150664381503,0.946543254427853,,,error,
91,XGBClassifier,0.9169408979009488,0.9996901529410392,,,,,,,,,51.0,,,0.13142464228687514,binary:logistic,,,,,,0.8369587524491023,,,,1.0,,,,,0.7463990460971739,0.3019081290509017,,,error,
92,XGBClassifier,0.9163175944297064,0.9999497344471372,,,,,,,,,57.0,,,0.28985371222334416,binary:logitraw,,,,,,0.3637075057136415,,,,2.0,,,,,0.7074886811610557,0.5677491429856629,,,error,
94,XGBClassifier,0.9156682691133836,0.9993805712757048,,,,,,,,,42.0,,,0.23317002505809323,binary:logistic,,,,,,0.4343470907699389,,,,7.0,,,,,0.5768848834415042,0.6223636469213607,,,logloss,
102,XGBClassifier,0.9115669556272472,0.9684858338190035,,,,,,,,,26.0,,,0.07942910148993122,binary:logistic,,,,,,0.9857186974354768,,,,9.0,,,,,0.6012014231626822,0.3027890871883052,,,logloss,
107,XGBClassifier,0.908911785281694,0.9999839702249582,,,,,,,,,56.0,,,0.2774820144248134,binary:logistic,,,,,,0.9301834062600308,,,,1.0,,,,,0.6415561830632099,0.3174480204327514,,,logloss,
108,XGBClassifier,0.905456653573269,0.9661352875758276,0.8400355476560765,0.8782402607021182,0.7339246119733925,0.7339246119733925,"SMOTED activites, clicks, activities*clicks, assessments, modules",,8.0,111.0,60.0,100.0,0,0.05,binary:logistic,False,0.5,gbtree,1.0,1.0,0.5306706190835525,-1.0,gain,0.0,10.0,(),1.0,0.0,1.0,0.5,0.8244105075475573,exact,1.0,logloss,111.0
111,XGBClassifier,0.8966287362475831,0.9646105686997128,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.5306706190835525,,,,10.0,,,,,0.5,0.8244105075475573,,,logloss,
112,XGBClassifier,0.8965746788187714,0.974765502131832,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.409027023425613,,,,8.0,,,,,0.5,0.8636333524814603,,,error,
113,XGBClassifier,0.895660307188533,0.9636535680748302,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.5352647243980614,,,,10.0,,,,,0.5,0.8136108857561193,,,logloss,
114,XGBClassifier,0.8953276790267967,0.9648072020483076,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,1.0,,,,10.0,,,,,0.5,0.8165756708262785,,,logloss,
115,XGBClassifier,0.8953220551920166,0.9720735129429026,,,,,,,,,20.0,,,0.05,binary:logistic,,,,,,0.4206590273925048,,,,10.0,,,,,0.5,1.0,,,error,
116,XGBClassifier,0.8951315270658312,0.973294489827334,,,,,,,,,20.0,,,0.05,binary:logistic,,,,,,0.476971608529895,,,,10.0,,,,,0.5,1.0,,,logloss,
117,XGBClassifier,0.8950018204373925,0.9705046158079176,,,,,,,,,49.0,,,0.05,binary:logistic,,,,,,0.3,,,,10.0,,,,,0.5,1.0,,,logloss,
118,XGBClassifier,0.8950018204373925,0.9705046158079176,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.3,,,,10.0,,,,,0.5,1.0,,,error,
119,XGBClassifier,0.8950018204373925,0.9705046158079176,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.3,,,,10.0,,,,,0.5,1.0,,,logloss,
120,XGBClassifier,0.8949441585270441,0.9908462818883712,,,,,,,,,25.0,,,0.29199513745732303,binary:logistic,,,,,,0.5101962961463276,,,,9.0,,,,,1.3232373944710014,0.3030111229526988,,,logloss,
121,XGBClassifier,0.8948481872382905,0.988830806932436,,,,,,,,,59.0,,,0.06757977842224361,binary:logistic,,,,,,0.4774786066436401,,,,9.0,,,,,0.5664490775716668,0.982107186481533,,,logloss,
122,XGBClassifier,0.8940856883426983,0.9807360348921128,,,,,,,,,42.0,,,0.05256341308812413,binary:logistic,,,,,,0.7056447524176274,,,,10.0,,,,,0.9776270748196476,0.6875537668780076,,,error,
123,XGBClassifier,0.8935820544423909,0.9747275540143924,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,1.0,,,,10.0,,,,,0.5,1.0,,,error,
124,XGBClassifier,0.8935394440456397,0.9630700220552796,,,,,,,,,21.0,,,0.05204440016972982,binary:logistic,,,,,,0.5036031349382037,,,,9.0,,,,,0.621697032691896,0.6084792355924535,,,logloss,
125,XGBClassifier,0.8934295438308191,0.9785921027349344,,,,,,,,,38.0,,,0.28692930206058376,binary:logistic,,,,,,0.7136609592647974,,,,9.0,,,,,0.504960149796446,0.3051191950736673,,,logloss,
126,XGBClassifier,0.8933908103734489,0.9379060621890454,,,,,,,,,20.0,,,0.05,binary:logistic,,,,,,1.0,,,,10.0,,,,,0.5,0.4499586908418407,,,error,
127,XGBClassifier,0.8933481240681764,0.9458033523249478,,,,,,,,,20.0,,,0.05,binary:logistic,,,,,,0.3,,,,10.0,,,,,0.5,0.5809258390687078,,,logloss,
128,XGBClassifier,0.892671221352085,0.991565233222611,,,,,,,,,30.0,,,0.2968343756702478,binary:logitraw,,,,,,0.3813032706414826,,,,10.0,,,,,1.6604866143980954,0.3049263200812621,,,logloss,
129,XGBClassifier,0.8923321055869888,0.9940245425315294,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.3,,,,10.0,,,,,2.0,0.819848967811866,,,logloss,
131,XGBClassifier,0.8916848578174768,0.9344047202698786,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.3,,,,10.0,,,,,0.5,0.4544935925780246,,,error,
132,XGBClassifier,0.8915415769410593,0.9965991336763158,0.8413685847589425,0.9720782106354614,0.76184122748499,0.76184122748499,"SMOTED activites, clicks, activities*clicks, assessments, modules",,8.0,111.0,6.0,100.0,0,0.300000012,binary:logistic,False,0.5,gbtree,1.0,1.0,1.0,-1.0,gain,0.0,1.0,(),1.0,0.0,1.0,1.0,1.0,exact,1.0,logloss,
135,XGBClassifier,0.8909321861128368,0.92217909184316,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,1.0,,,,10.0,,,,,0.5,0.3,,,logloss,
136,XGBClassifier,0.8909291243604691,0.999442564914164,,,,,,,,,51.0,,,0.05,binary:logistic,,,,,,0.4713328943405154,,,,5.0,,,,,1.938056872825108,1.0,,,error,
137,XGBClassifier,0.8908735119281949,0.9630875666531986,,,,,,,,,20.0,,,0.05702020701894747,binary:logistic,,,,,,0.7071444679101274,,,,10.0,,,,,1.7112295342635375,0.3327848683598657,,,logloss,
138,XGBClassifier,0.8905441900643016,0.9987869619220546,,,,,,,,,21.0,,,0.0856478065026347,binary:logistic,,,,,,0.9996554741686036,,,,9.0,,,,,1.2679875664790317,0.9918609336755392,,,logloss,
140,XGBClassifier,0.8898232358784,0.9988784234815048,,,,,,,,,33.0,,,0.0884688724965974,binary:logistic,,,,,,0.3236566397661519,,,,10.0,,,,,1.8584618736477911,0.9308677290862636,,,logloss,
141,XGBClassifier,0.8896068249258136,0.957002289461936,,,,,,,,,33.0,,,0.05014361033153264,binary:logistic,,,,,,0.4203534488113277,,,,10.0,,,,,1.5423946017258534,0.3377971936073342,,,error,
142,XGBClassifier,0.88934195902168,0.9999978015276516,,,,,,,,,40.0,,,0.08070300663501224,binary:logistic,,,,,,0.3119944057254377,,,,1.0,,,,,0.7505554949120177,0.9178177646683782,,,logloss,
144,XGBClassifier,0.8889921050212595,0.9997670182130032,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,1.0,,,,1.0,,,,,0.5,0.6923516520900563,,,logloss,
145,XGBClassifier,0.8887258745748841,0.9885240032501575,,,,,,,,,21.0,,,0.05287692310702895,binary:logistic,,,,,,0.8992606477184573,,,,2.0,,,,,0.8671666051573222,0.3183774295611831,,,logloss,
146,XGBClassifier,0.8884395344471168,0.9999307482091752,,,,,,,,,58.0,,,0.12005674283903768,binary:logistic,,,,,,0.5471006990726284,,,,3.0,,,,,0.5518116988476744,0.951467410225305,,,logloss,
147,XGBClassifier,0.8873757213394912,0.995851779146646,,,,,,,,,59.0,,,0.05163374435540643,binary:logistic,,,,,,0.933228858603112,,,,3.0,,,,,1.9984198794330803,0.4119507616304065,,,logloss,
148,XGBClassifier,0.8871921944312838,0.999601905661333,,,,,,,,,34.0,,,0.13334102221321545,binary:logistic,,,,,,0.4435570317460943,,,,7.0,,,,,0.7606911017983471,0.887488841451059,,,error,
149,XGBClassifier,0.8863309415228648,0.9899863875844308,,,,,,,,,25.0,,,0.1050125920010386,binary:logistic,,,,,,0.9251930159269388,,,,10.0,,,,,1.1668248467930489,0.5110435907521668,,,error,
151,XGBClassifier,0.8852573428812407,1.0,,,,,,,,,46.0,,,0.29999999999999993,binary:logistic,,,,,,1.0,,,,1.0,,,,,0.5,1.0,,,error,
152,XGBClassifier,0.8846783997974126,1.0,,,,,,,,,55.0,,,0.28090435539639635,binary:logistic,,,,,,0.3722632751455308,,,,2.0,,,,,0.6087347630112816,0.9951659930553508,,,logloss,
153,XGBClassifier,0.8845234527377823,0.999813897251504,,,,,,,,,57.0,,,0.20182784247999294,binary:logistic,,,,,,0.4607843146172299,,,,10.0,,,,,1.7142878031741164,0.9716553200872216,,,error,
154,XGBClassifier,0.8826658091025654,0.999986426822892,,,,,,,,,37.0,,,0.11629025827870534,binary:logistic,,,,,,0.9856115879518929,,,,1.0,,,,,1.1591356953106204,0.5486995203915338,,,error,
155,XGBClassifier,0.8825950475112594,0.9999910627319748,,,,,,,,,20.0,,,0.05,binary:logistic,,,,,,1.0,,,,1.0,,,,,2.0,1.0,,,logloss,
156,XGBClassifier,0.8824803092007408,0.9954195193535702,,,,,,,,,54.0,,,0.050724515012943026,binary:logistic,,,,,,0.3057948873266324,,,,1.0,,,,,0.6466635970894963,0.3617661027713019,,,error,
157,XGBClassifier,0.882180177499051,0.9894660105928516,,,,,,,,,33.0,,,0.06293141979746078,binary:logistic,,,,,,0.3313922794512218,,,,4.0,,,,,1.8504113226967032,0.3248269084667112,,,logloss,
159,XGBClassifier,0.8813769426516033,0.9998380080880642,,,,,,,,,44.0,,,0.29378295993698544,binary:logistic,,,,,,0.746636571966248,,,,10.0,,,,,0.6232105134935711,0.9615600973068572,,,logloss,
160,XGBClassifier,0.8812599174614777,1.0,,,,,,,,,22.0,,,0.2706360956500273,binary:logistic,,,,,,0.4535800931216052,,,,1.0,,,,,1.9704462379387373,0.8343050020093093,,,logloss,
161,XGBClassifier,0.8806528277343105,0.9999125868894162,,,,,,,,,54.0,,,0.22348117728637393,binary:logistic,,,,,,0.43307303825547,,,,4.0,,,,,1.1683539300848027,0.6801053759819217,,,logloss,
164,XGBClassifier,0.8795782832877919,0.9561024402114452,,,,,,,,,49.0,,,0.15192492707514377,binary:logistic,,,,,,0.3406743798205503,,,,10.0,,,,,0.6943176874579471,0.3297668234222566,,,error,
172,XGBClassifier,0.8778755716416594,0.9977678588945584,,,,,,,,,24.0,,,0.1046969932564704,binary:logistic,,,,,,0.658519895551086,,,,1.0,,,,,0.5100844272404343,0.3043128850672882,,,error,
188,XGBClassifier,0.8722069933556561,0.9999559827601534,,,,,,,,,57.0,,,0.28985371222334416,binary:logistic,,,,,,0.3637075057136415,,,,2.0,,,,,0.7074886811610557,0.5677491429856629,,,error,
194,XGBClassifier,0.8693276636987539,0.9978776185601426,0.8182626083092646,0.9794104577099688,0.7225237449118046,0.7225237449118046,"SMOTED activites, clicks, activities*clicks, assessments, modules",normalized,8.0,111.0,6.0,100.0,0,0.300000012,binary:logistic,False,0.5,gbtree,1.0,1.0,1.0,-1.0,gain,0.0,1.0,(),1.0,0.0,1.0,1.0,1.0,exact,1.0,logloss,
197,XGBClassifier,0.8684623194271125,0.9998059641275514,,,,,,,,,59.0,,,0.24862517465183923,binary:logistic,,,,,,0.4415298937824075,,,,4.0,,,,,1.675148468700464,0.4724151601446173,,,logloss,
203,XGBClassifier,0.8643110222119318,0.9478686570669308,,,,,,,,,20.0,,,0.29999999999999993,binary:logistic,,,,,,1.0,,,,10.0,,,,,0.5,0.3,,,logloss,
239,XGBClassifier,0.8243740956712178,0.9997120479152268,,,,,,,,,60.0,,,0.0574532400993164,binary:hinge,,,,,,0.6515472130131442,,,,7.0,,,,,1.950073165998157,0.8164237932208208,,,logloss,
240,XGBClassifier,0.8233395515060026,1.0,,,,,,,,,29.0,,,0.061014274076368946,binary:hinge,,,,,,0.9981385121486523,,,,1.0,,,,,1.6648143710972243,0.915464912398534,,,logloss,
243,XGBClassifier,0.8124502386950276,0.999827228749136,,,,,,,,,54.0,,,0.05101944854055706,binary:hinge,,,,,,0.3111345511561921,,,,5.0,,,,,1.8264514855249283,0.9855690838677812,,,error,
247,XGBClassifier,0.7894706007556287,0.9999424095830454,,,,,,,,,21.0,,,0.29803924546595295,binary:hinge,,,,,,0.6607522075473179,,,,9.0,,,,,1.221060885544739,0.980752270557169,,,error,
249,XGBClassifier,0.7888841870874695,0.9868522151811572,,,,,,,,,49.0,,,0.06584352695141871,binary:hinge,,,,,,0.6664964301262849,,,,6.0,,,,,1.0057722810383778,0.3967905368038786,,,logloss,
250,XGBClassifier,0.7874417887254247,0.9992512582311832,,,,,,,,,37.0,,,0.056177372789484335,binary:hinge,,,,,,0.3008424860973281,,,,10.0,,,,,1.3310876711163029,0.9355828003626188,,,logloss,
251,XGBClassifier,0.7860722088286904,0.983469666039276,,,,,,,,,32.0,,,0.2460620770824518,binary:hinge,,,,,,0.9869264192692112,,,,10.0,,,,,1.8394643383780864,0.3067421666768199,,,logloss,
252,XGBClassifier,0.7848368679373205,0.9999424095830454,,,,,,,,,21.0,,,0.05486011274821516,binary:hinge,,,,,,0.8787255241937381,,,,3.0,,,,,1.4597063830225934,0.9764547383324448,,,logloss,
256,XGBClassifier,0.7783780011355791,0.9872096650606256,,,,,,,,,45.0,,,0.08058748912393449,binary:hinge,,,,,,0.5679058865709348,,,,5.0,,,,,1.895197764650847,0.3486925070563107,,,logloss,
257,XGBClassifier,0.77748951164388,0.9869256616528504,,,,,,,,,31.0,,,0.29364730591135024,binary:hinge,,,,,,0.9381725948856044,,,,6.0,,,,,1.2312611755445284,0.3,,,error,
259,XGBClassifier,0.7649339671175672,0.9996773800422244,,,,,,,,,42.0,,,0.23317002505809323,binary:hinge,,,,,,0.4343470907699389,,,,7.0,,,,,0.5768848834415042,0.6223636469213607,,,logloss,
